,corr_day_close,corr_day_vol,corr_open_close,day_high,day_low,div_freq,dividend,eps,ex_div_date,market_cap,open,prev_close,price_precent_change_5d,quote_price,quote_price_change,quote_price_change_percent,quote_symbol,quote_volume,yield
1961,-0.5051553294474773,-0.30018712350313487,0.6797461211142751,12.65,12.53,Monthly,0.071 USD,0.07,04/29/2019,531913952,12.58,12.53,-1.35,12.6,0.07,0.56,SRT.UN,10430,9.049
1962,,,,22.94,22.82,Quarterly,0.297 CAD,N/A,03/14/2019,183200000,22.82,23.00,,22.9,-0.1,-0.43,WN.PR.E,183393,5.186
1963,-0.9630080827362937,0.5042825018257817,0.9592383356321007,12.55,12.14,N/A,N A,-0.090000,N/A,1049569371,12.46,12.48,-13.05,12.27,-0.21,-1.68,MAG,145425,N/A
1964,0.5480180837666618,0.4510482066279599,0.8574600341413142,25.15,25.04,Quarterly,0.112 CAD,N/A,03/20/2019,291392000,25.06,25.03,0.2,25.12,0.09,0.36,FLUS,5374,1.699
1965,0.2885425627694085,-0.3298808547450956,0.40759893695840366,N/A,N/A,N/A,N A,-0.450000,N/A,0,N/A,0.00,5.88,0.0,0.0,0.0,WRG,0,N/A
1966,0.6066229142026491,-0.8155546710548593,0.17870671546444822,41.32,39.94,Quarterly,0.100 CAD,2.320000,03/28/2019,1777983350,41.13,41.13,6.32,41.31,0.18,0.44,DOO,272044,0.097
1967,,,,25.90,25.82,Quarterly,0.344 CAD,N/A,02/21/2019,103320000,25.90,25.90,,25.83,-0.07,-0.27,PVS.PR.E,2025,5.323
1968,,,,N/A,N/A,Quarterly,0.199 CAD,N/A,04/08/2019,32623919,N/A,14.60,,14.6,0.0,0.0,PWF.PR.Q,0,5.461
1969,0.6024856651283924,0.24450822083410798,0.7630557117015744,0.46,0.44,N/A,N A,0.00,N/A,874836,0.44,0.45,8.89,0.46,0.01,2.22,FTU,1899,N/A
1970,0.504146965656685,-0.25215597278399815,0.8218277513542332,22.74,22.65,Monthly,0.043 CAD,N/A,04/24/2019,60261000,22.65,22.78,-0.62,22.74,-0.04,-0.18,XDU,2100,2.291
1971,0.7408216659554402,-0.06876698793950113,0.7479683558422318,N/A,N/A,Quarterly,0.100 CAD,1.37,02/14/2019,0,N/A,0.00,2.23,0.0,0.0,0.0,ALC,0,3.077
1972,,,,N/A,N/A,N/A,N A,-0.110000,N/A,94500000,N/A,90.00,,90.0,0.0,0.0,DEE.NT,0,N/A
